id,area,workflow_stage,publication_type,journal_or_venue,year,short_citation,core_idea,why_it_matters_for_this_repo,method_signal,researcher_action,url
"biber_1988_register","register variation","feature_design","book","Cambridge University Press","1988","Biber, D. 1988. Variation across Speech and Writing.","Register can be studied through distributions of linguistic features rather than isolated examples.","Supports feature-based comparison across text types, genres, or outlets.","multidimensional feature analysis","Use distributional feature counts as a bridge between corpus metrics and register interpretation.","https://www.cambridge.org/core/books/variation-across-speech-and-writing/275CD17A7B5C5D6AD9A199B4D5D94E80"
"biber_finegan_1989_stance","stance and evidentiality","feature_design","journal_article","Text","1989","Biber, D. and Finegan, E. 1989. Styles of stance in English.","Stance can be studied through lexical and grammatical marking of evidentiality and affect.","Supports richer features for hedging certainty evaluation and authorial positioning.","stance marker inventory","Add modal epistemic and evaluative markers to the feature list before modeling stance.","https://doi.org/10.1515/text.1.1989.9.1.93"
"entman_1993_framing","framing theory","theory","journal_article","Journal of Communication","1993","Entman, R. M. 1993. Framing: Toward Clarification of a Fractured Paradigm.","Frames select and make aspects of reality more salient in communication.","Gives the theoretical basis for operationalizing media frames.","frame definition","Define frames before counting words; decide what selection salience problem definition and evaluation mean in your corpus.","https://doi.org/10.1111/j.1460-2466.1993.tb01304.x"
"scheufele_1999_framing_effects","framing theory","theory","journal_article","Journal of Communication","1999","Scheufele, D. A. 1999. Framing as a Theory of Media Effects.","Framing should distinguish media frames audience frames and frame-building processes.","Keeps the repo from treating text patterns as audience effects.","conceptual separation","Separate textual frame detection from claims about reader interpretation.","https://doi.org/10.1111/j.1460-2466.1999.tb02784.x"
"scheufele_tewksbury_2007_models","framing theory","theory","journal_article","Journal of Communication","2007","Scheufele, D. A. and Tewksbury, D. 2007. Framing Agenda Setting and Priming.","Framing agenda setting and priming are related but analytically different media-effects models.","Helps prevent overclaiming when analyzing salience without audience data.","media-effects distinction","Label findings as textual framing unless the project actually measures agenda setting priming or audience effects.","https://doi.org/10.1111/j.0021-9916.2007.00326.x"
"matthes_kohring_2008_frame_reliability","frame content analysis","annotation_design","journal_article","Journal of Communication","2008","Matthes, J. and Kohring, M. 2008. The Content Analysis of Media Frames.","Frame analysis needs reliable operational indicators rather than vague holistic coding.","Supports a codebook-driven approach to frame annotation.","indicator-based coding","Break each frame into observable indicators and record coder disagreements.","https://doi.org/10.1111/j.1460-2466.2008.00384.x"
"matthes_2009_framing_review","frame content analysis","literature_review","journal_article","Journalism and Mass Communication Quarterly","2009","Matthes, J. 2009. What's in a Frame?","Framing studies vary widely in definition coding and validity practices.","Gives a cautionary checklist for transparent frame-analysis design.","review-based audit","Use the review as a checklist for defining frame units coding rules and validity evidence.","https://doi.org/10.1177/107769900908600206"
"baker_2008_cads","corpus-assisted discourse studies","method_design","journal_article","Discourse and Society","2008","Baker, P. et al. 2008. A useful methodological synergy?","Corpus methods and close reading can be combined to study discourse patterns responsibly.","Directly models the thesis-style workflow used by this project.","corpus plus CDA triangulation","Pair frequency collocation and KWIC outputs with close-reading examples before making discourse claims.","https://doi.org/10.1177/0957926508088962"
"gabrielatos_baker_2008_refugees","corpus-assisted media discourse","method_design","journal_article","Journal of English Linguistics","2008","Gabrielatos, C. and Baker, P. 2008. Fleeing sneaking flooding.","Corpus evidence can expose recurring media representations while retaining qualitative interpretation.","A strong model for studying media representations of contested social or political actors.","collocation and semantic preference","Use collocate lists and concordances to inspect repeated representational patterns.","https://doi.org/10.1177/0075424207311247"
"baker_2013_muslims_press","corpus-assisted media discourse","method_design","journal_article","Applied Linguistics","2013","Baker, P. Gabrielatos, C. and McEnery, T. 2013. Sketching Muslims.","Large press corpora can be analyzed through collocation semantic preference and discourse prosody.","Useful template for actor naming and representation analysis in news corpora.","diachronic corpus comparison","Compare actor terms across time periods and inspect discourse prosodies around them.","https://doi.org/10.1093/applin/ams048"
"baker_levon_2015_cherries","corpus-assisted discourse studies","method_validation","journal_article","Discourse and Communication","2015","Baker, P. and Levon, E. 2015. Picking the right cherries?","Corpus methods can discipline qualitative interpretation but still require careful sampling and interpretation.","Warns against cherry-picking concordance examples.","method comparison","Report how examples were selected and connect them to aggregate corpus patterns.","https://doi.org/10.1177/1750481314568542"
"bednarek_carr_2021_digital_news","digital text analysis","workflow_design","journal_article","Media International Australia","2021","Bednarek, M. and Carr, G. 2021. Computer-assisted digital text analysis for journalism and communications research.","Digital text analysis can support communication research when outputs remain interpretable and theory-linked.","Useful for turning scripts into communication-research workflows rather than isolated NLP demos.","workflow bridge","Keep generated outputs human-readable and tie each script to a research question.","https://doi.org/10.1177/1329878X20947124"
"boumans_trilling_2016_automated_content","automated content analysis","method_validation","journal_article","Digital Journalism","2016","Boumans, J. W. and Trilling, D. 2016. Taking stock of the toolkit.","Automated content analysis tools should be assessed by task fit transparency and validation.","Supports cautious use of scripts before larger-scale NLP modeling.","toolkit audit","Document whether each method is descriptive exploratory annotation-based or predictive.","https://doi.org/10.1080/21670811.2015.1096598"
"grimmer_stewart_2013_text_data","text as data","method_validation","journal_article","Political Analysis","2013","Grimmer, J. and Stewart, B. M. 2013. Text as Data.","Automatic text methods are powerful but require validation and substantive interpretation.","A useful guardrail for computational claims about political or media text.","validation principle","Validate automated outputs against human interpretation and report uncertainty.","https://doi.org/10.1093/pan/mps028"
"nicholls_culpepper_2021_frames","computational framing","modeling","journal_article","Political Communication","2021","Nicholls, T. and Culpepper, P. D. 2021. Computational Identification of Media Frames.","Computational frame identification has strengths and weaknesses that depend on frame definitions and training data.","Helps design frame modeling after codebook and validation work exist.","computational frame detection","Start with interpretable labels and gold annotations before trying predictive frame models.","https://doi.org/10.1080/10584609.2020.1812777"
