target,collocate,count,example_doc_ids
asean,members,1,demo_004
asean,welcome,1,demo_004
asean,infrastructure,1,demo_004
asean,finance,1,demo_004
beijing,framed,1,demo_003
beijing,initiative,1,demo_003
beijing,shared,1,demo_003
bri,report,1,demo_005
bri,treated,1,demo_005
bri,participation,1,demo_005
bri,managed,1,demo_005
bri,opportunity,1,demo_005
chinese,analysts,1,demo_002
chinese,said,1,demo_002
chinese,investment,1,demo_002
chinese,could,1,demo_002
chinese,support,1,demo_002
chinese,port,1,demo_002
chinese,development,1,demo_002
governance,opportunity,1,demo_005
governance,benefits,1,demo_005
governance,tied,1,demo_005
governance,safeguards,1,demo_005
governance,regional,1,demo_005
governance,trust,1,demo_005
initiative,belt,1,demo_001
initiative,road,1,demo_001
initiative,described,1,demo_001
initiative,platform,1,demo_001
initiative,beijing,1,demo_003
initiative,framed,1,demo_003
initiative,shared,1,demo_003
initiative,growth,1,demo_003
initiative,regional,1,demo_003
rules,welcome,1,demo_004
rules,infrastructure,1,demo_004
rules,finance,1,demo_004
rules,when,1,demo_004
rules,procurement,1,demo_004
rules,dispute,1,demo_004
rules,settlement,1,demo_004
