register,bigram,count
academic,corpus analysis,1
academic,analysis can,1
academic,can reveal,1
academic,reveal recurring,1
academic,recurring lexical,1
academic,lexical patterns,1
academic,patterns that,1
academic,that are,1
academic,are difficult,1
academic,difficult to,1
conversation,i was,1
conversation,was going,1
conversation,going to,1
conversation,to read,1
conversation,read the,1
conversation,the article,1
conversation,article but,1
conversation,but i,1
conversation,i got,1
conversation,got distracted,1
news,city officials,1
news,officials announced,1
news,announced a,1
news,a new,1
news,new transport,1
news,transport plan,1
news,plan after,1
news,after residents,1
news,residents reported,1
news,reported longer,1
